Event Time,Message,Log group,Log stream
2026-03-13T01:39:11.000Z,2 956463123464 eni-08c87cf9f092cc28e - - - - - - - 1773365951 1773366038 - NODATA,956463123464:/vpc/droneedge-dev/flow-logs,eni-08c87cf9f092cc28e-all
2026-03-13T01:39:19.000Z,2 956463123464 eni-0a24b34ec5758cd1d - - - - - - - 1773365959 1773366037 - NODATA,956463123464:/vpc/droneedge-dev/flow-logs,eni-0a24b34ec5758cd1d-all
2026-03-13T01:39:35.000Z,2 956463123464 eni-01489ba17351c3015 10.0.20.44 10.0.20.77 47982 443 6 16 4042 1773365975 1773366035 ACCEPT OK,956463123464:/vpc/droneedge-dev/flow-logs,eni-01489ba17351c3015-all
2026-03-13T01:39:35.000Z,2 956463123464 eni-01489ba17351c3015 10.0.20.44 10.0.20.77 42298 443 6 18 4147 1773365975 1773366035 ACCEPT OK,956463123464:/vpc/droneedge-dev/flow-logs,eni-01489ba17351c3015-all
2026-03-13T01:39:18.000Z,2 956463123464 eni-0a24b34ec5758cd1d - - - - - - - 1773365958 1773366038 - NODATA,956463123464:/vpc/droneedge-dev/flow-logs,eni-0a24b34ec5758cd1d-all
2026-03-13T01:39:20.000Z,2 956463123464 eni-02967441da61c810d - - - - - - - 1773365960 1773366037 - NODATA,956463123464:/vpc/droneedge-dev/flow-logs,eni-02967441da61c810d-all
2026-03-13T01:38:33.000Z,2 956463123464 eni-0ca83fa1f9fb6e6b9 - - - - - - - 1773365913 1773365992 - NODATA,956463123464:/vpc/droneedge-dev/flow-logs,eni-0ca83fa1f9fb6e6b9-all
2026-03-13T01:39:23.000Z,2 956463123464 eni-0a24b34ec5758cd1d - - - - - - - 1773365963 1773366037 - NODATA,956463123464:/vpc/droneedge-dev/flow-logs,eni-0a24b34ec5758cd1d-all
2026-03-13T01:39:19.000Z,2 956463123464 eni-0a24b34ec5758cd1d - - - - - - - 1773365959 1773366043 - NODATA,956463123464:/vpc/droneedge-dev/flow-logs,eni-0a24b34ec5758cd1d-all
2026-03-13T01:39:17.000Z,2 956463123464 eni-0a24b34ec5758cd1d - - - - - - - 1773365957 1773366033 - NODATA,956463123464:/vpc/droneedge-dev/flow-logs,eni-0a24b34ec5758cd1d-all
2026-03-13T01:39:22.000Z,2 956463123464 eni-0f31fa082709fb31c - - - - - - - 1773365962 1773366037 - NODATA,956463123464:/vpc/droneedge-dev/flow-logs,eni-0f31fa082709fb31c-all
2026-03-13T01:40:18.000Z,2 956463123464 eni-03a44ea260ff640aa 10.0.10.253 10.0.20.96 22576 8080 6 12 3169 1773366018 1773366042 ACCEPT OK,956463123464:/vpc/droneedge-dev/flow-logs,eni-03a44ea260ff640aa-all
2026-03-13T01:40:18.000Z,2 956463123464 eni-03a44ea260ff640aa 10.0.10.253 10.0.20.96 22588 8080 6 20 8858 1773366018 1773366042 ACCEPT OK,956463123464:/vpc/droneedge-dev/flow-logs,eni-03a44ea260ff640aa-all
2026-03-13T01:40:18.000Z,2 956463123464 eni-03a44ea260ff640aa 10.0.10.253 10.0.20.96 22594 8080 6 8 1437 1773366018 1773366042 ACCEPT OK,956463123464:/vpc/droneedge-dev/flow-logs,eni-03a44ea260ff640aa-all
2026-03-13T01:40:18.000Z,2 956463123464 eni-03a44ea260ff640aa 10.0.20.96 10.0.10.253 8080 36716 6 7 4704 1773366018 1773366042 ACCEPT OK,956463123464:/vpc/droneedge-dev/flow-logs,eni-03a44ea260ff640aa-all
