sheet,row,category,sub_category,unit_id,unit_title,section_id,section_title,lesson_id,lesson_title,tree_depth,maps_to_leaf,sub_unit_id,course_path,match_score,topical_unit_id,final_exam_only,final_exam_reason,classified_by,needs_review,review_reason,attention_reason,source_file,answer,question
test,2,Airports & Airspace,Airport Operations,4,AIRPORT OPERATIONS,,,41,Airport Classification and Control,2,yes,41,AIRPORT OPERATIONS > Airport Classification and Control,3.00,,,,sub_category_exact,,,,Section 4 airports & airspace ws key chat,B,What regulation governs access to SIDA areas?
test,3,Airports & Airspace,"Overview, L &L",,"Airports, Airspace, and Data Sources",,,22,Navigation: Latitude and Longitude,2,yes,,"Airports, Airspace, and Data Sources > Navigation: Latitude and Longitude",3.00,2,yes,requires FAA-CT figure (cross-section chart reading),sub_category_exact → FINAL_EXAM,,,,Airports & Airspace Test - key,C,"(Refer to FAA-CT-800-2H, Figure 21). What is the airport located approximately 47 degrees 40 minutes N latitude and 101 degrees 26 minutes w longitude?"
test,4,Airports & Airspace,Controlled vs Non controlled Airspace,,Airspace Classifications,32,"Controlled Airspace Classes (A, B, C, D, E, G)",321,Class A Airspace,3,yes,,"Airspace Classifications > Controlled Airspace Classes (A, B, C, D, E, G) > Class A Airspace",3.00,3,yes,requires FAA-CT figure (cross-section chart reading),sub_category_exact_to_leaf → FINAL_EXAM,,,,Extra 2 Questions,A,"(Refer to FAA-CT-8080-2G, Figure 23) What’s the lower altitude limit of Class E airspace at Statesboro Bulloch County Airport (TBR)?"
test,5,weather,"Sources, Metar",,WEATHER,53,Aviation Routine Weather Report (METAR) Decoding,531,"Report Type, Station, Date, and Time",3,yes,,"WEATHER > Aviation Routine Weather Report (METAR) Decoding > Report Type, Station, Date, and Time",3.00,5,yes,requires FAA-CT figure (cross-section chart reading),sub_category_exact_to_leaf → FINAL_EXAM,,,,2nd rnd practice test,A,"(Refer to FAA-CT-8080-2H, Figure 12.) The wind direction and velocity at KJFK is from"
test,6,Weather,"Sources, Metar",,WEATHER,53,Aviation Routine Weather Report (METAR) Decoding,531,"Report Type, Station, Date, and Time",3,yes,,"WEATHER > Aviation Routine Weather Report (METAR) Decoding > Report Type, Station, Date, and Time",3.00,5,yes,requires FAA-CT figure (cross-section chart reading),sub_category_exact_to_leaf → FINAL_EXAM,,,,Remaining Weather questions for James,A,"(Refer to FAA-CT-8080-2H, Figure 12.) What are the current conditions for Chicago Midway Airport (KMDW)?"
test,7,weather,"Sources, Metar",,WEATHER,53,Aviation Routine Weather Report (METAR) Decoding,531,"Report Type, Station, Date, and Time",3,yes,,"WEATHER > Aviation Routine Weather Report (METAR) Decoding > Report Type, Station, Date, and Time",3.00,5,yes,requires FAA-CT figure (cross-section chart reading),sub_category_exact_to_leaf → FINAL_EXAM,,,,new 60 questions test prep,B,"(Refer to FAA-CT-8080-2H, Figure 12.) Which stations are reporting weather that would prohibit UAS operations?"
test,8,weather,"Sources, TAF",,WEATHER,55,Terminal Aerodrome Forecast (TAF) Decoding,551,"TAF Header: Type, ID, and Origin Time",3,yes,,"WEATHER > Terminal Aerodrome Forecast (TAF) Decoding > TAF Header: Type, ID, and Origin Time",3.00,5,yes,requires FAA-CT figure (cross-section chart reading),sub_category_exact_to_leaf → FINAL_EXAM,,,,new 60 questions test prep,C,"(Refer to FAA-CT-8080-2H, Figure 15.) What is the valid period for the TAF for KMEM?"
test,9,Loading & Performance,loading and performance,,LOADING AND PERFORMANCE,,,71,FORCES IN FLIGHT,2,yes,,LOADING AND PERFORMANCE > FORCES IN FLIGHT,3.00,7,yes,requires FAA-CT figure (cross-section chart reading),sub_category_exact → FINAL_EXAM,,,,2nd rnd practice test,B,"(Refer to FAA-CT-8080-2H, Figure 2.) If an unmanned airplane weighs 33 pounds, what approximate weight would the airplane structure be required to support during a 30° banked turn while maintaining altitude?"
test,10,Airports & Airspace,Controlled vs Non controlled Airspace,,Airspace Classifications,32,"Controlled Airspace Classes (A, B, C, D, E, G)",321,Class A Airspace,3,yes,,"Airspace Classifications > Controlled Airspace Classes (A, B, C, D, E, G) > Class A Airspace",3.00,3,yes,requires FAA-CT figure (cross-section chart reading),sub_category_exact_to_leaf → FINAL_EXAM,,,,Airports & Airspace Test - key,B,"(Refer to FAA-CT-8080-2H, Figure 20 Area 1) The Fentress NALF Airport (NFE) is in what type of airspace?"
test,11,Airports & Airspace,Aeronautical Charts,,"Airports, Airspace, and Data Sources",24,Aeronautical Charts: Types and Interpretation,241,Sectional Charts vs. Terminal Area Charts (TACs),3,yes,,"Airports, Airspace, and Data Sources > Aeronautical Charts: Types and Interpretation > Sectional Charts vs. Terminal Area Charts (TACs)",3.00,2,yes,requires FAA-CT figure (cross-section chart reading),sub_category_exact → FINAL_EXAM,,,,Part 1 Test -Key DE,C,"(Refer to FAA-CT-8080-2H, Figure 20, area 2.) Why would the small flag at Lake Drummond of the sectional chart be important to a remote pilot?"
test,12,Airports & Airspace,Aeronautical Charts,,"Airports, Airspace, and Data Sources",24,Aeronautical Charts: Types and Interpretation,241,Sectional Charts vs. Terminal Area Charts (TACs),3,yes,,"Airports, Airspace, and Data Sources > Aeronautical Charts: Types and Interpretation > Sectional Charts vs. Terminal Area Charts (TACs)",3.00,2,yes,requires FAA-CT figure (cross-section chart reading),sub_category_exact → FINAL_EXAM,,,,new 60 questions test prep,B,"(Refer to FAA-CT-8080-2H, Figure 20, area 3.) With ATC authorization, you are operating your small unmanned aircraft approximately 4 SM southeast of Elizabeth City Regional Airport (ECG). What hazard is indicated to be in that area?"
