local_path,proposed_unit_id,unit_title,confidence,s3_key,cloudfront_url,order,status
assets/courses/faa-107/images/Pictures for Airports/3D Model Savanah.png,38,Answering Airspace and Chart Questions,reviewed,courses/35/38/3d-model-savanah-1a4c159c.png,https://media.thedroneedge.com/courses/35/38/3d-model-savanah-1a4c159c.png,1,uploaded
assets/courses/faa-107/images/Pictures for Airports/Aeronautical chart 1 slide 44.png,243,"Chart Legend, Supplement, and Airport Data",reviewed,courses/35/243/aeronautical-chart-1-slide-44-e9813be9.png,https://media.thedroneedge.com/courses/35/243/aeronautical-chart-1-slide-44-e9813be9.png,1,uploaded
assets/courses/faa-107/images/Pictures for Airports/Aeronautical chart 2 slide 44.png,243,"Chart Legend, Supplement, and Airport Data",reviewed,courses/35/243/aeronautical-chart-2-slide-44-ccd50104.png,https://media.thedroneedge.com/courses/35/243/aeronautical-chart-2-slide-44-ccd50104.png,2,uploaded
assets/courses/faa-107/images/Pictures for Airports/Air Defense Identificatioin Zones ADIZ.png,348,Air Defense Identification Zones (ADIZ),reviewed,courses/35/348/air-defense-identificatioin-zones-adiz-aa4a9ea7.png,https://media.thedroneedge.com/courses/35/348/air-defense-identificatioin-zones-adiz-aa4a9ea7.png,1,uploaded
assets/courses/faa-107/images/Pictures for Airports/Air Traffic by Numbers 1.png,211,Air Traffic by the Numbers,reviewed,courses/35/211/air-traffic-by-numbers-1-6df8612d.png,https://media.thedroneedge.com/courses/35/211/air-traffic-by-numbers-1-6df8612d.png,1,uploaded
assets/courses/faa-107/images/Pictures for Airports/Air Traffic by Numbers 2.png,211,Air Traffic by the Numbers,reviewed,courses/35/211/air-traffic-by-numbers-2-a78ddc2f.png,https://media.thedroneedge.com/courses/35/211/air-traffic-by-numbers-2-a78ddc2f.png,2,uploaded
assets/courses/faa-107/images/Pictures for Airports/Airport & Airspace info chart 1.png,243,"Chart Legend, Supplement, and Airport Data",reviewed,courses/35/243/airport-airspace-info-chart-1-0f86d799.png,https://media.thedroneedge.com/courses/35/243/airport-airspace-info-chart-1-0f86d799.png,3,uploaded
assets/courses/faa-107/images/Pictures for Airports/Airport & Airspace info chart 2.png,243,"Chart Legend, Supplement, and Airport Data",reviewed,courses/35/243/airport-airspace-info-chart-2-d332aa86.png,https://media.thedroneedge.com/courses/35/243/airport-airspace-info-chart-2-d332aa86.png,4,uploaded
assets/courses/faa-107/images/Pictures for Airports/Alert Area Ex.png,335,Alert Areas,reviewed,courses/35/335/alert-area-ex-8ff732b6.png,https://media.thedroneedge.com/courses/35/335/alert-area-ex-8ff732b6.png,1,uploaded
assets/courses/faa-107/images/Pictures for Airports/All Airspace Classifications .png,31,Introduction and Airspace Classifications,reviewed,courses/35/31/all-airspace-classifications-1161d06d.png,https://media.thedroneedge.com/courses/35/31/all-airspace-classifications-1161d06d.png,1,uploaded
assets/courses/faa-107/images/Pictures for Airports/Bethel Alaska PABE Class E2.png,327,Class E2 Surface Areas,reviewed,courses/35/327/bethel-alaska-pabe-class-e2-fa669731.png,https://media.thedroneedge.com/courses/35/327/bethel-alaska-pabe-class-e2-fa669731.png,1,uploaded
assets/courses/faa-107/images/Pictures for Airports/Class B Ex ATL-GA.png,322,Class B Airspace,reviewed,courses/35/322/class-b-ex-atl-ga-2da455af.png,https://media.thedroneedge.com/courses/35/322/class-b-ex-atl-ga-2da455af.png,1,uploaded
assets/courses/faa-107/images/Pictures for Airports/Class B Ex Baltimore-Wash.png,322,Class B Airspace,reviewed,courses/35/322/class-b-ex-baltimore-wash-ff9eb0a1.png,https://media.thedroneedge.com/courses/35/322/class-b-ex-baltimore-wash-ff9eb0a1.png,2,uploaded
assets/courses/faa-107/images/Pictures for Airports/Class C Ex Anchorage Alaska.png,323,Class C Airspace,reviewed,courses/35/323/class-c-ex-anchorage-alaska-f95c23da.png,https://media.thedroneedge.com/courses/35/323/class-c-ex-anchorage-alaska-f95c23da.png,1,uploaded
assets/courses/faa-107/images/Pictures for Airports/Class C Ex-TOL.png,323,Class C Airspace,reviewed,courses/35/323/class-c-ex-tol-c9af7f4f.png,https://media.thedroneedge.com/courses/35/323/class-c-ex-tol-c9af7f4f.png,2,uploaded
assets/courses/faa-107/images/Pictures for Airports/Class D Ex Cincinnati KLUK.png,324,Class D Airspace,reviewed,courses/35/324/class-d-ex-cincinnati-kluk-647c0780.png,https://media.thedroneedge.com/courses/35/324/class-d-ex-cincinnati-kluk-647c0780.png,1,uploaded
assets/courses/faa-107/images/Pictures for Airports/Class D with Ext Concord Padgett JQF.png,3242,Class D with Class E Extension,reviewed,courses/35/3242/class-d-with-ext-concord-padgett-jqf-16c08f7a.png,https://media.thedroneedge.com/courses/35/3242/class-d-with-ext-concord-padgett-jqf-16c08f7a.png,1,uploaded
assets/courses/faa-107/images/Pictures for Airports/Class E Ex Shelby Cleveland KEHO.png,325,Class E Fundamentals,reviewed,courses/35/325/class-e-ex-shelby-cleveland-keho-45190ebb.png,https://media.thedroneedge.com/courses/35/325/class-e-ex-shelby-cleveland-keho-45190ebb.png,1,uploaded
assets/courses/faa-107/images/Pictures for Airports/Class E Ext to Class C Surface Area.png,328,Class E3 and E4 Extensions,reviewed,courses/35/328/class-e-ext-to-class-c-surface-area-932009ad.png,https://media.thedroneedge.com/courses/35/328/class-e-ext-to-class-c-surface-area-932009ad.png,1,uploaded
assets/courses/faa-107/images/Pictures for Airports/Class E Floor 1200 ft or greater abuts G.png,325,Class E Fundamentals,reviewed,courses/35/325/class-e-floor-1200-ft-or-greater-abuts-g-02f5ed3f.png,https://media.thedroneedge.com/courses/35/325/class-e-floor-1200-ft-or-greater-abuts-g-02f5ed3f.png,2,uploaded
assets/courses/faa-107/images/Pictures for Airports/Class E Monrose Rgnl MTJ.png,327,Class E2 Surface Areas,reviewed,courses/35/327/class-e-monrose-rgnl-mtj-e7b4e094.png,https://media.thedroneedge.com/courses/35/327/class-e-monrose-rgnl-mtj-e7b4e094.png,2,uploaded
assets/courses/faa-107/images/Pictures for Airports/Class E Pauling NW Atlanta PUJ.png,327,Class E2 Surface Areas,reviewed,courses/35/327/class-e-pauling-nw-atlanta-puj-11dceabf.png,https://media.thedroneedge.com/courses/35/327/class-e-pauling-nw-atlanta-puj-11dceabf.png,3,uploaded
