file,unit_id,unit_title,width,height,verdict,note,current_url,order,replacement_file,retake_source,retake_note
3D Model Savanah.png,38,Answering Airspace and Chart Questions,1145,645,keep,meets 1000px guideline,https://media.thedroneedge.com/courses/35/38/3d-model-savanah-1a4c159c.png,1,,,
Aeronautical chart 1 slide 44.png,243,"Chart Legend, Supplement, and Airport Data",617,400,replace_p1,dense small text at <700px; retaken 2026-09-14 from AKTS legend p13 (airport data block panel); uploaded + swapped into local JSON 2026-09-14 (goes live on republish),https://media.thedroneedge.com/courses/35/243/aeronautical-chart-1-slide-44-e9813be9.png,1,retakes/aeronautical-chart-1-airport-data-akts-legend.png,faa-pdf,Chart Users Guide airport data legend
Aeronautical chart 2 slide 44.png,243,"Chart Legend, Supplement, and Airport Data",476,523,replace_p1,dense small text at <700px; retaken 2026-09-14 from AKTS legend p13 (airport data text panel); uploaded + swapped into local JSON 2026-09-14 (goes live on republish),https://media.thedroneedge.com/courses/35/243/aeronautical-chart-2-slide-44-ccd50104.png,2,retakes/aeronautical-chart-2-airport-data-akts-legend.png,faa-pdf,Chart Users Guide airport data legend
Air Defense Identificatioin Zones ADIZ.png,348,Air Defense Identification Zones (ADIZ),351,351,added_for_comparison,"retaken from Jacksonville SEC GeoTIFF (CONTIGUOUS U.S. ADIZ label boxed, coast context); appended as u348 image 2 (2026-09-14) for live comparison",https://media.thedroneedge.com/courses/35/348/air-defense-identificatioin-zones-adiz-aa4a9ea7.png,1,retakes/contiguous-us-adiz-jacksonville-sec.png,faa-geotiff,coastal SEC (ADIZ dotted magenta offshore; Jacksonville SEC on disk has it)
Air Traffic by Numbers 1.png,211,Air Traffic by the Numbers,526,607,added_for_comparison,composite live at courses/35/211/aircraft-by-numbers-1of-1-da658d3d.png appended as u211 image 3 (2026-09-14); originals kept pending live comparison,https://media.thedroneedge.com/courses/35/211/air-traffic-by-numbers-1-6df8612d.png,1,,,
Air Traffic by Numbers 2.png,211,Air Traffic by the Numbers,538,150,added_for_comparison,composite appended as u211 image 3 (2026-09-14); originals kept pending live comparison,https://media.thedroneedge.com/courses/35/211/air-traffic-by-numbers-2-a78ddc2f.png,2,,,
Airport & Airspace info chart 1.png,243,"Chart Legend, Supplement, and Airport Data",266,667,replace_p1,dense small text at <700px; retaken 2026-09-14 from AKTS legend p13 (airspace info panel 1); uploaded + swapped into local JSON 2026-09-14 (goes live on republish),https://media.thedroneedge.com/courses/35/243/airport-airspace-info-chart-1-0f86d799.png,3,retakes/airport-airspace-info-1-akts-legend.png,faa-pdf,AKTS Appendix 1 legend / Chart Users Guide
Airport & Airspace info chart 2.png,243,"Chart Legend, Supplement, and Airport Data",236,341,replace_p1,under 500px long edge; upscaled 2-4x in content column; retaken 2026-09-14 from AKTS legend p13 (airspace info panel 2); uploaded + swapped into local JSON 2026-09-14 (goes live on republish),https://media.thedroneedge.com/courses/35/243/airport-airspace-info-chart-2-d332aa86.png,4,retakes/airport-airspace-info-2-akts-legend.png,faa-pdf,AKTS Appendix 1 legend / Chart Users Guide
Alert Area Ex.png,335,Alert Areas,432,441,added_for_comparison,"retaken from Jacksonville SEC GeoTIFF (A-293 label circled, caution box + Daytona Beach context); appended as u335 image 2 (2026-09-14) for live comparison. NOTE: old figure also contained the chart-margin SUA table — that content is a candidate for the u33 Special Use Airspace.png retake",https://media.thedroneedge.com/courses/35/335/alert-area-ex-8ff732b6.png,1,retakes/alert-area-a-293-jacksonville-sec.png,faa-geotiff,Jacksonville SEC on disk (A-293 west of Daytona Beach)
All Airspace Classifications .png,31,Introduction and Airspace Classifications,748,358,keep,acceptable at column width,https://media.thedroneedge.com/courses/35/31/all-airspace-classifications-1161d06d.png,1,,,
Bethel Alaska PABE Class E2.png,327,Class E2 Surface Areas,1138,648,keep,meets 1000px guideline,https://media.thedroneedge.com/courses/35/327/bethel-alaska-pabe-class-e2-fa669731.png,1,,,
Class B Ex ATL-GA.png,322,Class B Airspace,1147,648,keep,meets 1000px guideline,https://media.thedroneedge.com/courses/35/322/class-b-ex-atl-ga-2da455af.png,1,,,
Class B Ex Baltimore-Wash.png,322,Class B Airspace,1147,642,keep,meets 1000px guideline,https://media.thedroneedge.com/courses/35/322/class-b-ex-baltimore-wash-ff9eb0a1.png,2,,,
Class C Ex Anchorage Alaska.png,323,Class C Airspace,1144,643,keep,meets 1000px guideline,https://media.thedroneedge.com/courses/35/323/class-c-ex-anchorage-alaska-f95c23da.png,1,,,
Class C Ex-TOL.png,323,Class C Airspace,1147,645,keep,meets 1000px guideline,https://media.thedroneedge.com/courses/35/323/class-c-ex-tol-c9af7f4f.png,2,,,
Class D Ex Cincinnati KLUK.png,324,Class D Airspace,1141,645,keep,meets 1000px guideline,https://media.thedroneedge.com/courses/35/324/class-d-ex-cincinnati-kluk-647c0780.png,1,,,
Class D with Ext Concord Padgett JQF.png,3242,Class D with Class E Extension,1146,646,keep,meets 1000px guideline,https://media.thedroneedge.com/courses/35/3242/class-d-with-ext-concord-padgett-jqf-16c08f7a.png,1,,,
Class E Ex Shelby Cleveland KEHO.png,325,Class E Fundamentals,1065,613,keep,meets 1000px guideline,https://media.thedroneedge.com/courses/35/325/class-e-ex-shelby-cleveland-keho-45190ebb.png,1,,,
Class E Ext to Class C Surface Area.png,328,Class E3 and E4 Extensions,981,544,keep,acceptable at column width,https://media.thedroneedge.com/courses/35/328/class-e-ext-to-class-c-surface-area-932009ad.png,1,,,
Class E Floor 1200 ft or greater abuts G.png,325,Class E Fundamentals,1093,619,keep,meets 1000px guideline,https://media.thedroneedge.com/courses/35/325/class-e-floor-1200-ft-or-greater-abuts-g-02f5ed3f.png,2,,,
Class E Monrose Rgnl MTJ.png,327,Class E2 Surface Areas,1123,639,keep,meets 1000px guideline,https://media.thedroneedge.com/courses/35/327/class-e-monrose-rgnl-mtj-e7b4e094.png,2,,,
Class E Pauling NW Atlanta PUJ.png,327,Class E2 Surface Areas,552,631,replace_p2,retaken 2026-09-14 from Atlanta SEC GeoTIFF (Paulding NW PUJ with Class E dashed magenta); uploaded + swapped into local JSON 2026-09-14 (goes live on republish),https://media.thedroneedge.com/courses/35/327/class-e-pauling-nw-atlanta-puj-11dceabf.png,3,retakes/class-e-paulding-nw-atlanta-puj-atlanta-sec.png,faa-geotiff,Atlanta SEC on disk
Class E airspace markings.png,325,Class E Fundamentals,324,438,replace_p1,under 500px long edge; upscaled 2-4x in content column; retaken 2026-09-14 from Chart Users Guide p27 Class E section at 300dpi; uploaded + swapped into local JSON 2026-09-14 (goes live on republish),https://media.thedroneedge.com/courses/35/325/class-e-airspace-markings-700b215c.png,3,retakes/class-e-airspace-markings-cug-p27.png,faa-pdf,Chart Users Guide airspace legend
Class E3 Ex intersecting Class C.png,328,Class E3 and E4 Extensions,1093,589,keep,meets 1000px guideline,https://media.thedroneedge.com/courses/35/328/class-e3-ex-intersecting-class-c-ae6ea2e3.png,2,,,
Class E4.png,328,Class E3 and E4 Extensions,1145,643,keep,meets 1000px guideline,https://media.thedroneedge.com/courses/35/328/class-e4-bf8ef006.png,3,,,
