unit_id,sub_unit_id,unit_ref,sub_unit_ref,course_path
1,11,u1,u11,PART 107 REGULATIONS > Applicability of Part 107
1,124,u1,u124,PART 107 REGULATIONS > Crew Roles and Responsibilities > Flight Crew Management and Communication
1,171,u1,u171,"PART 107 REGULATIONS > Flying At Night Under Certain Conditions > Night Eligibility, Civil Twilight, and Lighting"
1,172,u1,u172,PART 107 REGULATIONS > Flying At Night Under Certain Conditions > Night Flight Hazards and Mitigation
1,161,u1,u161,PART 107 REGULATIONS > Flying Over People and Moving Objects > Means of Compliance and Declaration of Compliance
1,162,u1,u162,PART 107 REGULATIONS > Flying Over People: Category Operations > Categories 1 and 2
1,163,u1,u163,"PART 107 REGULATIONS > Flying Over People: Category Operations > Categories 3 and 4, Sustained Flight, and Crowds"
1,164,u1,u164,PART 107 REGULATIONS > Flying Over People: Category Operations > Operation Over Moving Vehicles
1,132,u1,u132,"PART 107 REGULATIONS > Operating Rules > Accident Reporting, In-Flight Emergency, and Hazardous Operations"
1,137,u1,u137,PART 107 REGULATIONS > Operating Rules > Autonomous Flight and RPIC Responsibility
1,133,u1,u133,"PART 107 REGULATIONS > Operating Rules > Medical Conditions, Alcohol, and Drugs"
1,139,u1,u139,PART 107 REGULATIONS > Operating Rules > Operating Limitations
1,134,u1,u134,PART 107 REGULATIONS > Operating Rules > Operation From Moving Vehicles
1,140,u1,u140,PART 107 REGULATIONS > Operating Rules > Operation Over People — General Rule
1,138,u1,u138,"PART 107 REGULATIONS > Operating Rules > Preflight Familiarization, Inspection, and Airspace Operations"
1,131,u1,u131,"PART 107 REGULATIONS > Operating Rules > Registration, Inspection, and Falsification"
1,136,u1,u136,PART 107 REGULATIONS > Operating Rules > Right-of-Way Rules and Operation Near Aircraft
1,141,u1,u141,PART 107 REGULATIONS > Operating Rules > Transportation of Property
1,135,u1,u135,PART 107 REGULATIONS > Operating Rules > Visual Line of Sight (VLOS) and Multi-Aircraft Rules
1,122,u1,u122,PART 107 REGULATIONS > Crew Roles and Responsibilities > Person Manipulating the Flight Controls
1,153,u1,u153,PART 107 REGULATIONS > Remote ID Requirements > FRIA and Alternative Remote Identification
1,152,u1,u152,PART 107 REGULATIONS > Remote ID Requirements > Remote ID Broadcast Module
1,151,u1,u151,PART 107 REGULATIONS > Remote ID Requirements > Standard Remote ID
1,121,u1,u121,PART 107 REGULATIONS > Crew Roles and Responsibilities > Remote Pilot In Command (RPIC)
1,123,u1,u123,PART 107 REGULATIONS > Crew Roles and Responsibilities > Visual Observer (VO)
1,14,u1,u14,PART 107 REGULATIONS > Waivers and Airspace Authorization
2,243,u2,u243,"Airports, Airspace, and Data Sources > Aeronautical Charts > Chart Legend, Supplement, and Airport Data"
2,244,u2,u244,"Airports, Airspace, and Data Sources > Aeronautical Charts > Man-Made Obstacles on Sectional Charts"
2,245,u2,u245,"Airports, Airspace, and Data Sources > Aeronautical Charts > Maximum Elevation Figure (MEF)"
2,241,u2,u241,"Airports, Airspace, and Data Sources > Aeronautical Charts > Sectional Charts"
2,242,u2,u242,"Airports, Airspace, and Data Sources > Aeronautical Charts > Terminal Area Charts (TACs)"
2,233,u2,u233,"Airports, Airspace, and Data Sources > Airports, Charts, and Data Sources > Automated Terminal Information Service (ATIS)"
2,231,u2,u231,"Airports, Airspace, and Data Sources > Airports, Charts, and Data Sources > Chart Supplement U.S."
2,232,u2,u232,"Airports, Airspace, and Data Sources > Airports, Charts, and Data Sources > Notices to Airmen (NOTAMs)"
2,213,u2,u213,"Airports, Airspace, and Data Sources > Introduction to Air Traffic and the NAS > Air Traffic Control (ATC)"
2,211,u2,u211,"Airports, Airspace, and Data Sources > Introduction to Air Traffic and the NAS > Air Traffic by the Numbers"
2,212,u2,u212,"Airports, Airspace, and Data Sources > Introduction to Air Traffic and the NAS > National Airspace System (NAS)"
2,22,u2,u22,"Airports, Airspace, and Data Sources > Navigation: Latitude and Longitude"
3,38,u3,u38,Airspace Classifications > Answering Airspace and Chart Questions
3,321,u3,u321,Airspace Classifications > Controlled Airspace Classes > Class A Airspace
3,322,u3,u322,Airspace Classifications > Controlled Airspace Classes > Class B Airspace
3,323,u3,u323,Airspace Classifications > Controlled Airspace Classes > Class C Airspace
3,324,u3,u324,Airspace Classifications > Controlled Airspace Classes > Class D Airspace
3,3242,u3,u3242,Airspace Classifications > Controlled Airspace Classes > Class D with Class E Extension
3,327,u3,u327,Airspace Classifications > Controlled Airspace Classes > Class E > Class E2 Surface Areas
3,328,u3,u328,Airspace Classifications > Controlled Airspace Classes > Class E > Class E3 and E4 Extensions
3,329,u3,u329,Airspace Classifications > Controlled Airspace Classes > Class G Airspace
3,31,u3,u31,Airspace Classifications > Introduction and Airspace Classifications
3,348,u3,u348,Airspace Classifications > Other Airspace Areas > Air Defense Identification Zones (ADIZ)
3,341,u3,u341,Airspace Classifications > Other Airspace Areas > Local Airport Advisory (LAA)
3,342,u3,u342,Airspace Classifications > Other Airspace Areas > Military Training Routes (MTRs)
3,347,u3,u347,Airspace Classifications > Other Airspace Areas > National Security Areas (NSA)
3,344,u3,u344,Airspace Classifications > Other Airspace Areas > Parachute Jump Aircraft Operations
3,345,u3,u345,Airspace Classifications > Other Airspace Areas > Published VFR Routes
3,343,u3,u343,Airspace Classifications > Other Airspace Areas > Temporary Flight Restrictions (TFRs)
3,346,u3,u346,Airspace Classifications > Other Airspace Areas > Terminal Radar Service Areas (TRSA)
3,335,u3,u335,Airspace Classifications > Special Use Airspace > Alert Areas
3,336,u3,u336,Airspace Classifications > Special Use Airspace > Controlled Firing Areas (CFAs)
3,334,u3,u334,Airspace Classifications > Special Use Airspace > Military Operations Areas (MOAs)
3,332,u3,u332,Airspace Classifications > Special Use Airspace > Prohibited Areas
3,331,u3,u331,Airspace Classifications > Special Use Airspace > Restricted Areas
3,333,u3,u333,Airspace Classifications > Special Use Airspace > Warning Areas
4,441,u4,u441,"AIRPORT OPERATIONS > Airport Signs, Markings, and Security > Airport Location and Mandatory Instruction Signs"
4,451,u4,u451,"AIRPORT OPERATIONS > Airport Signs, Markings, and Security > Airport Security (SIDA)"
4,442,u4,u442,"AIRPORT OPERATIONS > Airport Signs, Markings, and Security > Direction, ILS Holding, and Runway Holding Markings"
4,411,u4,u411,AIRPORT OPERATIONS > Intro to Airport Operations
4,422,u4,u422,AIRPORT OPERATIONS > Runway Position and Heading Examples
4,423,u4,u423,"AIRPORT OPERATIONS > Runways: Surface Aids, Hazards, and Orientation"
4,43,u4,u43,AIRPORT OPERATIONS > Traffic Patterns for Manned Aircraft
4,452,u4,u452,AIRPORT OPERATIONS > Wildlife Hazards Near Airports
5,53,u5,u53,WEATHER > Aviation Routine Weather Report (METAR) Decoding
5,543,u5,u543,WEATHER > Aviation Weather Forecast Products > AIRMET and Winds/Temperatures Aloft (FB)
5,542,u5,u542,WEATHER > Aviation Weather Forecast Products > SIGMET and Convective SIGMET (WST)
5,541,u5,u541,WEATHER > Aviation Weather Forecast Products > Terminal Aerodrome Forecast (TAF) and Aviation Area Forecast (FA)
5,51,u5,u51,WEATHER > Surface Aviation Weather Observations
5,55,u5,u55,WEATHER > Terminal Aerodrome Forecast (TAF) Decoding
6,611,u6,u611,"WEATHER EFFECTS ON AIRCRAFT PERFORMANCE > Air Pressure, Density, Humidity, and Performance > Air Pressure and Density Fundamentals"
6,612,u6,u612,"WEATHER EFFECTS ON AIRCRAFT PERFORMANCE > Air Pressure, Density, Humidity, and Performance > Density Altitude and Performance"
6,62,u6,u62,"WEATHER EFFECTS ON AIRCRAFT PERFORMANCE > Air Pressure, Density, Humidity, and Performance > Pressure, Humidity, and Performance"
6,64,u6,u64,WEATHER EFFECTS ON AIRCRAFT PERFORMANCE > Atmospheric Stability
6,661,u6,u661,WEATHER EFFECTS ON AIRCRAFT PERFORMANCE > Clouds and Thunderstorm Life Cycle > Hazardous Cloud Types
6,662,u6,u662,WEATHER EFFECTS ON AIRCRAFT PERFORMANCE > Clouds and Thunderstorm Life Cycle > Thunderstorm Life Cycle
6,671,u6,u671,"WEATHER EFFECTS ON AIRCRAFT PERFORMANCE > Fronts, Mountain Flying, and Operational Minimums > Atmospheric Fronts"
6,672,u6,u672,"WEATHER EFFECTS ON AIRCRAFT PERFORMANCE > Fronts, Mountain Flying, and Operational Minimums > Mountain Flying Cautions"
6,673,u6,u673,"WEATHER EFFECTS ON AIRCRAFT PERFORMANCE > Fronts, Mountain Flying, and Operational Minimums > Operational Ceiling and Visibility Minimums"
6,651,u6,u651,"WEATHER EFFECTS ON AIRCRAFT PERFORMANCE > Temperature Inversions, Dew Point, and Structural Icing Hazards > Dew Point and Condensation"
6,652,u6,u652,"WEATHER EFFECTS ON AIRCRAFT PERFORMANCE > Temperature Inversions, Dew Point, and Structural Icing Hazards > Structural Icing"
6,642,u6,u642,"WEATHER EFFECTS ON AIRCRAFT PERFORMANCE > Temperature Inversions, Dew Point, and Structural Icing Hazards > Temperature Inversions"
6,632,u6,u632,"WEATHER EFFECTS ON AIRCRAFT PERFORMANCE > Wind, Turbulence, and Severe Wind Hazards > Low-Level Wind Shear and Microbursts"
6,631,u6,u631,"WEATHER EFFECTS ON AIRCRAFT PERFORMANCE > Wind, Turbulence, and Severe Wind Hazards > Obstacle and Terrain-Induced Turbulence"
6,633,u6,u633,"WEATHER EFFECTS ON AIRCRAFT PERFORMANCE > Wind, Turbulence, and Severe Wind Hazards > Operational Wind Risk Decisions"
7,730,u7,u730,LOADING AND PERFORMANCE > Load Factors and Performance > Key Takeaways
7,715,u7,u715,LOADING AND PERFORMANCE > Load Factors and Performance > Load Factor Fundamentals
7,718,u7,u718,LOADING AND PERFORMANCE > Load Factors and Performance > Load Factor in Turns
7,723,u7,u723,LOADING AND PERFORMANCE > Load Factors and Performance > Stalls and Load Factor
7,725,u7,u725,LOADING AND PERFORMANCE > Load Factors and Performance > Weight Limits and Consequences
7,77,u7,u77,"LOADING AND PERFORMANCE > Weight, Balance, and Loading > Balance and Center of Gravity"
7,71,u7,u71,"LOADING AND PERFORMANCE > Weight, Balance, and Loading > Forces in Flight"
7,73,u7,u73,"LOADING AND PERFORMANCE > Weight, Balance, and Loading > Weight and Balance Responsibilities"
7,712,u7,u712,"LOADING AND PERFORMANCE > Weight, Balance, and Loading > Weight, Lift, and Stability"
8,81,u8,u81,EMERGENCY PROCEDURES > Emergency Preparedness and Response
9,911,u9,u911,AERONAUTICAL DECISION MAKING > Aeronautical Decision Making (ADM) > Steps to Good Decision Making
9,95,u9,u95,AERONAUTICAL DECISION MAKING > Maintenance and Inspection Procedures
9,940,u9,u940,AERONAUTICAL DECISION MAKING > Physiology > Physiology
9,941,u9,u941,AERONAUTICAL DECISION MAKING > Physiology > Vision
9,922,u9,u922,AERONAUTICAL DECISION MAKING > Risk Management > Hazardous Attitudes and Antidotes
9,921,u9,u921,AERONAUTICAL DECISION MAKING > Risk Management > Hazards and Risk Assessment
9,923,u9,u923,AERONAUTICAL DECISION MAKING > Risk Management > Mitigating Risks: IMSAFE and PAVE Checklists
9,932,u9,u932,AERONAUTICAL DECISION MAKING > Workload and Crew Resource Management > Effective Team Communication
9,933,u9,u933,AERONAUTICAL DECISION MAKING > Workload and Crew Resource Management > Situational Awareness
9,931,u9,u931,AERONAUTICAL DECISION MAKING > Workload and Crew Resource Management > Workload Management
10,107,u10,u107,RADIO COMMUNICATION PROCEDURES > Aircraft Identification and Standard Radio Calls
10,104,u10,u104,"RADIO COMMUNICATION PROCEDURES > CTAF, Frequencies, and Advisory Services"
10,101,u10,u101,RADIO COMMUNICATION PROCEDURES > Radio Communication Fundamentals
